MonoAnion	MonoAnion	Dianion	Dianion
22213.8303307639	2.43538662367635E-4	22197.5582685905	7.2103994206183E-4
22197.5582685905	2.33148817946225E-4	22181.3100281703	7.27419639237371E-4
22181.3100281703	2.69513375928564E-4	22164.5942771018	6.78707666656179E-4
22164.5942771018	2.09515074310652E-4	22148.3942414175	6.6598560289343E-4
22148.3942414175	2.66394984277465E-4	22132.2178695527	6.69625479086145E-4
22132.2178695527	1.64664095369953E-4	22115.5760001769	6.79731197545029E-4
22115.5760001769	1.41188288476303E-4	22099.4475138122	6.00926633832417E-4
22099.4475138122	1.74180457510419E-4	22083.3425347261	6.87233751887446E-4
22083.3425347261	2.09412118978544E-4	22066.7740583004	6.92840403251416E-4
22066.7740583004	1.52981449252354E-4	22050.7166482911	5.81574510283087E-4
22050.7166482911	1.61474801193537E-4	22034.6825903973	6.29509447030065E-4
22034.6825903973	2.15533146416904E-4	22018.1870224806	6.22336797112585E-4
22018.1870224806	1.69059330232893E-4	22002.200220022	6.40805175599409E-4
22002.200220022	2.39602226205853E-4	21986.2366158785	6.39113259983384E-4
21986.2366158785	2.26496041313383E-4	21969.8134762836	5.68167597005031E-4
21969.8134762836	1.8942126084712E-4	21953.896816685	5.16098183420921E-4
21953.896816685	2.22268028356618E-4	21938.0032029485	5.14796563887433E-4
21938.0032029485	2.29604296417249E-4	21921.6520156959	5.97387800396194E-4
21921.6520156959	2.1300370061911E-4	21905.8050383352	5.90898862823323E-4
21905.8050383352	1.85322938888511E-4	21889.9809557166	5.28075853125397E-4
21889.9809557166	1.45901491528711E-4	21873.7012489883	5.6282269366608E-4
21873.7012489883	1.49270096146112E-4	21857.9234972678	5.41631548667251E-4
21857.9234972678	2.41136528304738E-4	21842.1684904877	5.13798378198057E-4
21842.1684904877	1.96007596049306E-4	21825.9597965821	5.46219727399285E-4
21825.9597965821	2.32796283571602E-4	21810.2508178844	5.37085309909497E-4
21810.2508178844	2.06422671830213E-4	21794.5644356298	5.14905382319093E-4
21794.5644356298	2.01807572020163E-4	21778.4262909162	5.09345472044573E-4
21778.4262909162	2.30659474063123E-4	21762.7856365615	5.41747420839855E-4
21762.7856365615	1.826989479337E-4	21747.1674314421	4.91618250344775E-4
21747.1674314421	2.64151772974512E-4	21731.0993763174	5.16722655669465E-4
21731.0993763174	2.13705424243207E-4	21715.5266015201	4.72120793582304E-4
21715.5266015201	2.56089848237269E-4	21699.9761300263	5.02408717209989E-4
21699.9761300263	2.58555420319326E-4	21683.9777088709	4.7859124522836E-4
21683.9777088709	2.08711419158254E-4	21668.4723726977	5.07653744535946E-4
21668.4723726977	1.90947975922913E-4	21652.9891951584	4.26785274489052E-4
21652.9891951584	2.60543325870075E-4	21637.0599562931	5.18397263376676E-4
21637.0599562931	1.62871116811398E-4	21621.6216216216	4.44559750208754E-4
21621.6216216216	1.81451280318571E-4	21606.2053021628	4.80941420883242E-4
21606.2053021628	2.24561282784469E-4	21590.3447978064	4.29641807587086E-4
21590.3447978064	2.35275568281243E-4	21574.9730312837	4.35480447844628E-4
21574.9730312837	2.240290207616E-4	21559.6231377876	4.80842519851021E-4
21559.6231377876	2.55796718171121E-4	21543.8309240149	4.268906347765E-4
21543.8309240149	1.64405421736699E-4	21528.5252960172	4.43316266122494E-4
21528.5252960172	1.83765163173614E-4	21513.2414000818	4.57689312668864E-4
21513.2414000818	1.63457217036022E-4	21497.5170367823	4.29709693140111E-4
21497.5170367823	2.51272590268431E-4	21482.2771213749	4.67562914509983E-4
21482.2771213749	2.33017065785518E-4	21467.0587982741	3.98956533925141E-4
21467.0587982741	2.14092148999675E-4	21451.4018491108	4.60685710979002E-4
21451.4018491108	1.8666910054238E-4	21436.2272240086	4.86994320363683E-4
21436.2272240086	2.08708251241577E-4	21421.074052653	4.70320663380092E-4
21421.074052653	2.13409361243913E-4	21405.4840850226	5.22186681286556E-4
21405.4840850226	1.94520604961745E-4	21390.3743315508	4.47348638342931E-4
21390.3743315508	2.41393884955813E-4	21375.2858944488	4.20669020099372E-4
21375.2858944488	2.06674942756685E-4	21359.7624794412	4.66203677951467E-4
21359.7624794412	1.98370438229061E-4	21344.7171824973	4.95081131956446E-4
21344.7171824973	1.86071974114817E-4	21329.6930657168	4.30591936444999E-4
21329.6930657168	2.11466950999691E-4	21314.2357780762	4.18873816017354E-4
21314.2357780762	2.45496458412143E-4	21299.2545260916	4.6733882729231E-4
21299.2545260916	2.72061847813341E-4	21284.2943192218	4.82313866208477E-4
21284.2943192218	2.56608295254736E-4	21268.9027373078	5.04923885007197E-4
21268.9027373078	2.29931627555675E-4	21253.9851222104	4.02790543535663E-4
21253.9851222104	2.20217690293325E-4	21239.0884183251	4.72881077075283E-4
21239.0884183251	2.59643359775647E-4	21223.7621240741	5.43361436908573E-4
21223.7621240741	2.84084607025936E-4	21208.9077412513	4.83582352575025E-4
21208.9077412513	2.73000310276981E-4	21194.0741368713	4.89546196341077E-4
21194.0741368713	3.15681256382438E-4	21178.8127157592	4.64654571671982E-4
21178.8127157592	2.86211175169129E-4	21164.0211640212	4.26451007659265E-4
21164.0211640212	2.64299295558388E-4	21149.2502590783	4.45214689008288E-4
21149.2502590783	2.33800816769444E-4	21134.0533000824	4.5971194763349E-4
21134.0533000824	2.54078139950167E-4	21119.3241816262	4.46319029048973E-4
21119.3241816262	2.22158172901728E-4	21104.6155794272	4.46909052736084E-4
21104.6155794272	2.40572964856166E-4	21089.48267499	4.30484570803072E-4
21089.48267499	2.69873728196647E-4	21074.8155953635	4.49653333725373E-4
21074.8155953635	2.05687387185536E-4	21060.1689025546	4.27744228322378E-4
21060.1689025546	2.45984214286616E-4	21045.0996485468	4.92979807702002E-4
21045.0996485468	2.88738711191984E-4	21030.4942166141	4.62792983666767E-4
21030.4942166141	2.42375803674662E-4	21015.9090431457	5.11252756122063E-4
21015.9090431457	2.48461548410859E-4	21000.9030388307	4.97148611026611E-4
21000.9030388307	2.62139941420636E-4	20986.3588667366	4.90128673237633E-4
20986.3588667366	2.7367313602616E-4	20971.8348258289	5.44568593255887E-4
20971.8348258289	1.94571806878026E-4	20956.8916738269	4.86348539459759E-4
20956.8916738269	2.47966588863539E-4	20942.4083769633	4.33473438293313E-4
20942.4083769633	2.06113772209062E-4	20927.9450850721	4.83755443576078E-4
20927.9450850721	2.43024172573336E-4	20913.0643913253	4.90399046653885E-4
20913.0643913253	2.57299719516144E-4	20898.6415882968	5.13360938722381E-4
20898.6415882968	2.15518980773936E-4	20884.2386650795	4.83173552465502E-4
20884.2386650795	2.25862883938942E-4	20869.4200388171	5.12204586367431E-4
20869.4200388171	3.42176178062075E-4	20855.0573514077	5.27647073584821E-4
20855.0573514077	2.69395477105876E-4	20840.7144196903	5.85962991633614E-4
20840.7144196903	3.25343516370505E-4	20825.9574733948	5.49392463569915E-4
20825.9574733948	2.72378275780538E-4	20811.6545265349	5.09511483077783E-4
20811.6545265349	3.06472047895564E-4	20797.3712122788	4.68713466828408E-4
20797.3712122788	2.53489445157861E-4	20782.6755616518	4.67088866358992E-4
20782.6755616518	2.73630846476129E-4	20768.4319833853	4.90332766739159E-4
20768.4319833853	3.26884162682507E-4	20754.2079156549	4.67608032701223E-4
20754.2079156549	2.91708242262872E-4	20739.573179584	5.25479902973625E-4
20739.573179584	2.68754524555331E-4	20725.3886010363	5.67080617912101E-4
20725.3886010363	2.64812957363863E-4	20711.2234119669	4.87228170503636E-4
20711.2234119669	2.97707160525088E-4	20696.6492124925	5.87626926275348E-4
20696.6492124925	2.48562500017532E-4	20682.5232678387	5.1858472586386E-4
